pair_id,program_id,java_id,python_id,language_a,language_b,code_a,code_b,label,pair_type,split,source,pair_label,program_id_a,program_id_b
TRAIN_POS_040146,3784,3784-Java-17,3784-Python-17,Java,Python,"System . out . print ( ans + ""NEW_LINE""); }",print ( ans ) NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_000918,,6023-Java-4,9926-Python-2,Java,Python,for ( int i = start ; i < 5 ; i ++ ) {,"def findXOR ( mat , N ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,6023,9926
TRAIN_POS_059329,10437,10437-Java-9,10437-Python-9,Java,Python,"static boolean areAnagrams ( int a , int b ) {","def areAnagrams ( a , b ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_043657,4911,4911-Java-9,4911-Python-9,Java,Python,int cur_prefix_2 = 0 ;,cur_prefix_2 = 0 NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_002225,,11706-Java-5,13777-Python-8,Java,Python,"public static void main ( String [ ] args ) { int n = 5 ; int k = 3 ; int a [ ] = { 2 , 1 , 1 , 1 , 1 } ; minOperation ( n , k , a ) ; } }","if __name__ == "" _ _ main _ _ "" : NEW_LINE INDENT a = 10 NEW_LINE b = 5 NEW_LINE l = 1 NEW_LINE r = 3 NEW_LINE if ( bitsAreComplement ( a , b , l , r ) ) : NEW_LINE INDENT print ( "" Yes "" ) NEW_LINE DEDENT else : NEW_LINE INDENT print ( "" No "" ) NEW_LINE DEDENT DEDENT",0,negative,train,XLCoST_constructed,0,11706,13777
TRAIN_POS_052638,7462,7462-Java-11,7462-Python-11,Java,Python,"public static void main ( String [ ] args ) { String N = ""16333331163"" ; nearestPowerOfTwo ( N ) ; } }","if __name__ == ' _ _ main _ _ ' : NEW_LINE INDENT N = ""16333331163"" NEW_LINE nearestPowerOfTwo ( N ) NEW_LINE DEDENT",1,positive,train,XLCoST,1,,
TRAIN_POS_046991,5609,5609-Java-12,5609-Python-12,Java,Python,if ( Math . abs ( x - y ) <= 1 ) return true ; return false ; },if ( abs ( x - y ) <= 1 ) : NEW_LINE INDENT return True ; NEW_LINE DEDENT return False ; NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_057082,9057,9057-Java-4,9057-Python-4,Java,Python,"else if ( x == y y == z z == x ) System . out . println ( "" Isosceles ▁ Triangle "" ) ;","elif x == y or y == z or z == x : NEW_LINE INDENT print ( "" Isosceles ▁ Triangle "" ) NEW_LINE DEDENT",1,positive,train,XLCoST,1,,
TRAIN_POS_043501,4877,4877-Java-6,4877-Python-6,Java,Python,"ans = Math . min ( ans , Math . abs ( A - i ) + Math . abs ( B - j ) + Math . abs ( i * j - C ) ) ; j ++ ; } }","ans = min ( ans , abs ( A - i ) + abs ( B - j ) + abs ( i * j - C ) ) NEW_LINE j += 1 NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_032638,2172,2172-Java-5,2172-Python-5,Java,Python,"result = Math . max ( result , mul ) ; mul *= arr [ j ] ; }","result = max ( result , mul ) NEW_LINE mul *= arr [ j ] NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_NEG_002303,,4583-Java-7,10312-Python-10,Java,Python,"Collections . sort ( contribution , Comp ) ; int i = 0 ;","arr = [ 9 , 10 , 7 , 5 , 0 , 10 , 2 , 0 ] NEW_LINE",0,negative,train,XLCoST_constructed,0,4583,10312
TRAIN_POS_033648,2427,2427-Java-8,2427-Python-8,Java,Python,public void push ( int new_data ) {,"def push ( self , new_data ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_055565,8433,8433-Java-4,8433-Python-4,Java,Python,"String s = arr [ 0 ] ; int len = s . length ( ) ; String res = "" "" ; for ( int i = 0 ; i < len ; i ++ ) { for ( int j = i + 1 ; j <= len ; j ++ ) {","s = arr [ 0 ] NEW_LINE l = len ( s ) NEW_LINE res = "" "" NEW_LINE for i in range ( l ) : NEW_LINE INDENT for j in range ( i + 1 , l + 1 ) : NEW_LINE DEDENT",1,positive,train,XLCoST,1,,
TRAIN_POS_046794,5561,5561-Java-9,5561-Python-9,Java,Python,moves -= take * distance ; } },moves -= take * distance NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_000594,,3598-Java-2,7711-Python-1,Java,Python,"static int power ( int x , int y , int mod ) {",max1 = 0 NEW_LINE,0,negative,train,XLCoST_constructed,0,3598,7711
TRAIN_POS_031881,1872,1872-Java-7,1872-Python-7,Java,Python,int max = lis [ 0 ] + lds [ 0 ] - 1 ; for ( i = 1 ; i < n ; i ++ ) if ( lis [ i ] + lds [ i ] - 1 > max ) max = lis [ i ] + lds [ i ] - 1 ; return max ; },"maximum = lis [ 0 ] + lds [ 0 ] - 1 NEW_LINE for i in range ( 1 , n ) : NEW_LINE INDENT maximum = max ( ( lis [ i ] + lds [ i ] - 1 ) , maximum ) NEW_LINE DEDENT return maximum NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_069263,11950,11950-Java-9,11950-Python-9,Java,Python,for ( int i = 0 ; i < n ; i ++ ) {,for i in range ( n ) : NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_002352,,6192-Java-8,5975-Python-5,Java,Python,if ( col >= N ) return 0 ;,"dp [ 0 ] [ 0 ] = costs [ 0 ] [ 0 ] NEW_LINE dp [ 0 ] [ 1 ] = costs [ 0 ] [ 1 ] NEW_LINE dp [ 0 ] [ 2 ] = costs [ 0 ] [ 2 ] NEW_LINE for i in range ( 1 , N , 1 ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,6192,5975
TRAIN_POS_046332,5462,5462-Java-10,5462-Python-10,Java,Python,public static void main ( String [ ] args ) {,"if __name__ == "" _ _ main _ _ "" : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_065435,11373,11373-Java-3,11373-Python-3,Java,Python,for ( i = 2 ; i <= n ; i ++ ) {,"for i in range ( 2 , n + 1 ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_053648,7752,7752-Java-9,7752-Python-9,Java,Python,for ( int j = 0 ; j < a ; j ++ ) { for ( int i = 0 ; i < b ; i ++ ) { decrypted = decrypted + arr [ i ] [ j ] ; } } return decrypted ; },for j in range ( a ) : NEW_LINE INDENT for i in range ( b ) : NEW_LINE INDENT decrypted = decrypted + arr [ i ] [ j ] NEW_LINE DEDENT DEDENT return decrypted NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_002471,,5374-Java-2,9918-Python-7,Java,Python,static int sumOfFactors ( int N ) { int ans = 0 ;,length += 1 NEW_LINE,0,negative,train,XLCoST_constructed,0,5374,9918
TRAIN_NEG_000708,,12930-Java-9,6865-Python-6,Java,Python,static int count ( int n ) {,"for i in range ( N , 0 , - 1 ) : NEW_LINE INDENT for j in range ( 1 , M + 1 ) : NEW_LINE INDENT P2S [ i ] [ j ] = max ( P2S [ i + 1 ] [ j ] , P2S [ i ] [ j - 1 ] ) + A [ i - 1 ] [ j - 1 ] NEW_LINE DEDENT DEDENT",0,negative,train,XLCoST_constructed,0,12930,6865
TRAIN_POS_053257,7659,7659-Java-11,7659-Python-11,Java,Python,"boolean result = checkSuffix ( A , B ) ;","result = checkSuffix ( A , B ) ; NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_NEG_002113,,403-Java-16,12255-Python-3,Java,Python,sol [ x ] [ y ] = 0 ; return false ; } return false ; },totalCount = 0 NEW_LINE,0,negative,train,XLCoST_constructed,0,403,12255
TRAIN_NEG_001007,,4541-Java-7,11486-Python-6,Java,Python,"public static void main ( String [ ] args ) { int [ ] A = { 1 , 4 , 3 , 5 , 7 } ; int [ ] B = { 2 , 2 , 5 , 8 , 9 } ; int n = A . length ; if ( IsSorted ( A , B , n ) == true ) { System . out . println ( "" True "" ) ; } else { System . out . println ( "" False "" ) ; } } }",temp //= 10 NEW_LINE,0,negative,train,XLCoST_constructed,0,4541,11486
TRAIN_POS_019261,8831,8831-Java-21,8831-Python-21,Java,Python,"if ( find ( v , n - 1 , dest , s ) ) return true ; } s = p ;","if ( find ( v , n - 1 , dest , s ) ) : NEW_LINE INDENT return 1 NEW_LINE DEDENT s = p NEW_LINE",1,positive,train,XLCoST,1,,
